,Unnamed: 0,Unnamed: 0.2,targetApp,lifecycle:transition,eventType,target.sheetName,timeStamp,target.workbookName,case:concept:name,case:description,url,target.name,target.value,Column,Row,idx,Task,target.id,target.innerText,target.tagName,content
0,0,0,Excel,complete,openFile,Sheet1,2019-02-21 16:06:51.688000+00:00,data.xls,1,instance with id 1,,,,,,0,CopyPasteStuff,,,,
1,1,1,Web,complete,goToUrl,,2019-02-21 16:06:58.215000+00:00,,1,instance with id 1,www.webpage.com,,,,,0,CopyPasteStuff,,,,
2,2,2,Web,complete,insertValue,,2019-02-21 16:07:10.152000+00:00,,1,instance with id 1,,,Frank01,,,0,CopyPasteStuff,,username,,
3,3,3,Web,complete,insertValue,,2019-02-21 16:07:21.069000+00:00,,1,instance with id 1,,,LittleFrank123,,,0,CopyPasteStuff,,password,,
4,4,4,Web,complete,clickButton,,2019-02-21 16:07:24.905000+00:00,,1,instance with id 1,,,,,,0,CopyPasteStuff,,confirm,,
5,5,5,Web,complete,waitResponse,,2019-02-21 16:07:28.181000+00:00,,1,instance with id 1,www.webpage.com/ok,,,,,0,CopyPasteStuff,,,,
6,6,6,Web,complete,clickButton,,2019-02-21 16:07:40.962000+00:00,,1,instance with id 1,,,,,,0,CopyPasteStuff,,Button1,,
7,7,7,Web,complete,clickButton,,2019-02-21 16:07:43.354000+00:00,,1,instance with id 1,,,,,,0,CopyPasteStuff,,B2,,
8,8,8,Web,complete,insertValue,,2019-02-21 16:07:46.688000+00:00,,1,instance with id 1,,,182381,,,0,CopyPasteStuff,,ID,,
9,9,9,Excel,complete,copy,,2019-02-21 16:07:50.709000+00:00,,1,instance with id 1,,,Au 58124829 XT,B,1.0,0,CopyPasteStuff,B1.0,,,
10,10,10,Web,complete,paste,,2019-02-21 16:07:53.280000+00:00,,1,instance with id 1,,,Au 58124829 XT,,,0,CopyPasteStuff,,Special code,,
11,11,11,Excel,complete,copy,,2019-02-21 16:07:56.899000+00:00,,1,instance with id 1,,,Melbourne 123,B,2.0,0,CopyPasteStuff,B2.0,,,
12,12,12,Web,complete,paste,,2019-02-21 16:07:59.955000+00:00,,1,instance with id 1,,,Melbourne 123,,,0,CopyPasteStuff,,Area,,
13,13,13,Web,complete,clickButton,,2019-02-21 16:08:02.285000+00:00,,1,instance with id 1,,,,,,0,CopyPasteStuff,,OK,,
14,14,14,Excel,complete,openFile,Sheet1,2019-02-21 16:08:12.285000+00:00,data.xls,2,instance with id 2,,,,,,1,CopyPasteStuff,,,,
15,15,15,Web,complete,goToUrl,,2019-02-21 16:08:23.714000+00:00,,2,instance with id 2,www.webpage.com,,,,,1,CopyPasteStuff,,,,
16,16,16,Web,complete,insertValue,,2019-02-21 16:08:31.397000+00:00,,2,instance with id 2,,,Frank01,,,1,CopyPasteStuff,,username,,
17,17,17,Web,complete,insertValue,,2019-02-21 16:08:44.625000+00:00,,2,instance with id 2,,,LittleFrank123,,,1,CopyPasteStuff,,password,,
18,18,18,Web,complete,clickButton,,2019-02-21 16:08:54.802000+00:00,,2,instance with id 2,,,,,,1,CopyPasteStuff,,confirm,,
19,19,19,Web,complete,waitResponse,,2019-02-21 16:08:57.335000+00:00,,2,instance with id 2,www.webpage.com/wrong,,,,,1,CopyPasteStuff,,,,
20,20,20,Excel,complete,insertValue,,2019-02-21 16:09:08.767000+00:00,,2,instance with id 2,,,Wrong log-in,A,10.0,1,CopyPasteStuff,A10.0,,,
21,21,21,Excel,complete,insertValue,,2019-02-21 16:09:12.724000+00:00,,2,instance with id 2,,,Wrong log-in,B,10.0,1,CopyPasteStuff,B10.0,,,
22,22,22,Excel,complete,insertValue,,2019-02-21 16:09:14.351000+00:00,,2,instance with id 2,,,Wrong log-in,C,10.0,1,CopyPasteStuff,C10.0,,,
23,23,23,Web,complete,clickButton,,2019-02-21 16:09:15.773000+00:00,,2,instance with id 2,,,,,,1,CopyPasteStuff,,cancel,,
24,24,24,Excel,complete,openFile,Sheet1,2019-02-21 16:09:25.773000+00:00,data.xls,3,instance with id 3,,,,,,2,CopyPasteStuff,,,,
25,25,25,Web,complete,goToUrl,,2019-02-21 16:09:32.028000+00:00,,3,instance with id 3,www.webpage.com,,,,,2,CopyPasteStuff,,,,
26,26,26,Web,complete,insertValue,,2019-02-21 16:09:41.660000+00:00,,3,instance with id 3,,,Frank01,,,2,CopyPasteStuff,,username,,
27,27,27,Web,complete,insertValue,,2019-02-21 16:09:52.445000+00:00,,3,instance with id 3,,,LittleFrank123,,,2,CopyPasteStuff,,password,,
28,28,28,Web,complete,clickButton,,2019-02-21 16:09:57.854000+00:00,,3,instance with id 3,,,,,,2,CopyPasteStuff,,confirm,,
29,29,29,Web,complete,waitResponse,,2019-02-21 16:10:01.600000+00:00,,3,instance with id 3,www.webpage.com/wrong,,,,,2,CopyPasteStuff,,,,
30,30,30,Excel,complete,insertValue,,2019-02-21 16:10:06.864000+00:00,,3,instance with id 3,,,Wrong log-in,A,10.0,2,CopyPasteStuff,A10.0,,,
31,31,31,Excel,complete,insertValue,,2019-02-21 16:10:09.363000+00:00,,3,instance with id 3,,,Wrong log-in,B,10.0,2,CopyPasteStuff,B10.0,,,
32,32,32,Excel,complete,insertValue,,2019-02-21 16:10:13.656000+00:00,,3,instance with id 3,,,Wrong log-in,C,10.0,2,CopyPasteStuff,C10.0,,,
33,33,33,Web,complete,clickButton,,2019-02-21 16:10:17.852000+00:00,,3,instance with id 3,,,,,,2,CopyPasteStuff,,cancel,,
34,34,34,Excel,complete,openFile,Sheet1,2019-02-21 16:10:27.852000+00:00,data.xls,4,instance with id 4,,,,,,3,CopyPasteStuff,,,,
35,35,35,Web,complete,goToUrl,,2019-02-21 16:10:42.694000+00:00,,4,instance with id 4,www.webpage.com,,,,,3,CopyPasteStuff,,,,
36,36,36,Web,complete,insertValue,,2019-02-21 16:10:46.111000+00:00,,4,instance with id 4,,,Frank01,,,3,CopyPasteStuff,,username,,
37,37,37,Web,complete,insertValue,,2019-02-21 16:10:46.257000+00:00,,4,instance with id 4,,,LittleFrank123,,,3,CopyPasteStuff,,password,,
38,38,38,Web,complete,clickButton,,2019-02-21 16:10:58.189000+00:00,,4,instance with id 4,,,,,,3,CopyPasteStuff,,confirm,,
39,39,39,Web,complete,waitResponse,,2019-02-21 16:11:02.673000+00:00,,4,instance with id 4,www.webpage.com/ok,,,,,3,CopyPasteStuff,,,,
40,40,40,Web,complete,clickButton,,2019-02-21 16:11:10.653000+00:00,,4,instance with id 4,,,,,,3,CopyPasteStuff,,Button1,,
41,41,41,Web,complete,clickButton,,2019-02-21 16:11:14.016000+00:00,,4,instance with id 4,,,,,,3,CopyPasteStuff,,B2,,
42,42,42,Web,complete,insertValue,,2019-02-21 16:11:18.235000+00:00,,4,instance with id 4,,,182381,,,3,CopyPasteStuff,,ID,,
43,43,43,Excel,complete,copy,,2019-02-21 16:11:21.430000+00:00,,4,instance with id 4,,,Au 58124829 XT,B,1.0,3,CopyPasteStuff,B1.0,,,
44,44,44,Web,complete,paste,,2019-02-21 16:11:24.627000+00:00,,4,instance with id 4,,,Au 58124829 XT,,,3,CopyPasteStuff,,Special code,,
45,45,45,Excel,complete,copy,,2019-02-21 16:11:28.915000+00:00,,4,instance with id 4,,,Melbourne 123,B,2.0,3,CopyPasteStuff,B2.0,,,
46,46,46,Web,complete,paste,,2019-02-21 16:11:33.540000+00:00,,4,instance with id 4,,,Melbourne 123,,,3,CopyPasteStuff,,Area,,
47,47,47,Web,complete,clickButton,,2019-02-21 16:11:36.580000+00:00,,4,instance with id 4,,,,,,3,CopyPasteStuff,,OK,,
48,48,48,Excel,complete,openFile,Sheet1,2019-02-21 16:11:46.580000+00:00,data.xls,5,instance with id 5,,,,,,4,CopyPasteStuff,,,,
49,49,49,Web,complete,goToUrl,,2019-02-21 16:12:03.128000+00:00,,5,instance with id 5,www.webpage.com,,,,,4,CopyPasteStuff,,,,
50,50,50,Web,complete,insertValue,,2019-02-21 16:12:14.066000+00:00,,5,instance with id 5,,,Frank01,,,4,CopyPasteStuff,,username,,
51,51,51,Web,complete,insertValue,,2019-02-21 16:12:16.152000+00:00,,5,instance with id 5,,,LittleFrank123,,,4,CopyPasteStuff,,password,,
52,52,52,Web,complete,clickButton,,2019-02-21 16:12:21.962000+00:00,,5,instance with id 5,,,,,,4,CopyPasteStuff,,confirm,,
